"Recording","Timestamp","Species Text","Classification source","Calls [#]","Mean Peak Frequency [kHz]","Mean Max Frequency [kHz]","Mean Min Frequency [kHz]","Mean Call Length [ms]","Mean Call Distance [ms]","Notes","Rating","Marked","Temperature [°C]","Humidity [%r.H.]","Latitude [WGS84]","Longitude [WGS84]","Device"
"20960000","14-5-2025 23:00:07","-","-","1","79,9","91,5","79,5","6,4","0","","1","False","19,0","35,0","","","BATLOGGER M2 (25112096)"
"20960001","14-5-2025 23:00:39","-","-","1","28,5","32,6","20,3","7,5","0","","1","False","18,0","34,0","51,375180","5,208590","BATLOGGER M2 (25112096)"
"20960002_1","14-5-2025 23:01:07","-","-","1","18,8","19,1","17,6","5,3","0","","1","False","18,0","34,0","51,375290","5,207910","BATLOGGER M2 (25112096)"
"20960002_2","14-5-2025 23:01:07","-","-","1","46,5","46,9","46,1","4,3","0","","1","False","18,0","34,0","51,375290","5,207910","BATLOGGER M2 (25112096)"
"20960002_3","14-5-2025 23:01:07","-","-","1","86,6","88,1","81,4","8,5","0","","1","False","18,0","34,0","51,375290","5,207910","BATLOGGER M2 (25112096)"
"20960003","14-5-2025 23:01:39","-","-","0","0,0","0,0","0,0","0,0","0","","1","False","17,0","34,0","51,375070","5,206510","BATLOGGER M2 (25112096)"
"20960004","14-5-2025 23:04:28","Myotis spec.","User","60","49,5","93,0","48,1","4,0","85","","","False","17,0","36,0","51,377680","5,197100","BATLOGGER M2 (25112096)"
"20960005_1","14-5-2025 23:04:45","Myotis spec.","User","22","50,5","79,1","47,8","4,0","95","","","False","17,0","36,0","51,377700","5,196970","BATLOGGER M2 (25112096)"
"20960005_2","14-5-2025 23:04:45","Myotis spec.","User","1","34,1","36,4","22,5","2,7","0","","1","False","17,0","36,0","51,377700","5,196970","BATLOGGER M2 (25112096)"
"20960006_1","14-5-2025 23:04:59","Myotis spec.","User","16","52,1","66,0","48,2","5,0","170","","","False","17,0","36,0","51,377750","5,196970","BATLOGGER M2 (25112096)"
"20960006_2","14-5-2025 23:04:59","Myotis spec.","User","3","42,3","61,0","41,3","4,1","1275","","","False","17,0","36,0","51,377750","5,196970","BATLOGGER M2 (25112096)"
"20960007_1","14-5-2025 23:05:14","Myotis spec.","User","2","20,1","30,6","15,0","4,3","1978","","1","False","16,0","36,0","51,377760","5,196940","BATLOGGER M2 (25112096)"
"20960007_2","14-5-2025 23:05:14","Myotis spec.","User","1","41,3","55,9","40,5","6,4","0","","1","False","16,0","36,0","51,377760","5,196940","BATLOGGER M2 (25112096)"
"20960008","14-5-2025 23:05:17","Myotis spec.","User","46","45,5","75,4","43,9","4,0","94","","","False","16,0","36,0","51,377780","5,196940","BATLOGGER M2 (25112096)"
"20960009","14-5-2025 23:05:32","Myotis spec.","User","44","44,4","81,1","42,0","4,0","90","","","False","16,0","36,0","51,377770","5,196910","BATLOGGER M2 (25112096)"
"20960010","14-5-2025 23:05:46","Myotis spec.","User","65","45,5","86,3","44,2","4,0","110","","","False","16,0","37,0","51,377790","5,196950","BATLOGGER M2 (25112096)"
"20960011_1","14-5-2025 23:06:01","Pipistrellus spec.","User","18","51,2","99,8","46,9","4,0","470","","","False","16,0","37,0","51,377790","5,196960","BATLOGGER M2 (25112096)"
"20960011_2","14-5-2025 23:06:01","-","-","3","41,6","69,9","40,8","4,4","299","","","False","16,0","37,0","51,377790","5,196960","BATLOGGER M2 (25112096)"
"20960011_3","14-5-2025 23:06:01","-","-","1","65,6","104,3","58,1","4,8","0","","","False","16,0","37,0","51,377790","5,196960","BATLOGGER M2 (25112096)"
"20960012_1","14-5-2025 23:06:16","-","-","5","48,6","60,7","47,0","4,8","483","","","False","16,0","37,0","51,377790","5,196950","BATLOGGER M2 (25112096)"
"20960012_2","14-5-2025 23:06:16","-","-","2","55,7","68,1","50,1","2,1","687","","","False","16,0","37,0","51,377790","5,196950","BATLOGGER M2 (25112096)"
"20960012_3","14-5-2025 23:06:16","-","-","1","62,3","96,0","53,3","2,1","0","","","False","16,0","37,0","51,377790","5,196950","BATLOGGER M2 (25112096)"
"20960013_1","14-5-2025 23:06:26","Pipistrellus pipistrellus","Not reviewed","38","48,5","80,9","46,8","4,0","90","","","False","16,0","37,0","51,377780","5,196950","BATLOGGER M2 (25112096)"
